,observation,fips,year,price,pop,pop16,cpi,ndi,sales,pimin,state,adjusted_price,adjusted_min_price,adjusted_ndi,ndi_by_100
481,482,20,1964,26.8,984.0,668.7,31.0,2042.6400586,137.4,24.7,KS,2.07687896774,1.91413845161,15829.5379715,158.295379715
482,483,20,1965,27.2,986.0,671.6,31.5,2212.948766,139.1,24.7,KS,2.07441879365,1.88375530159,16877.1415793,168.771415793
483,484,20,1966,29.6,985.0,673.5,32.4,2356.6467378,135.1,25.9,KS,2.19474864198,1.92040506173,17473.8082007,174.738082007
484,485,20,1967,30.3,982.0,674.5,33.4,2447.1232386,136.0,26.5,KS,2.17938646707,1.90606407186,17601.4101302,176.014101302
485,486,20,1968,32.0,978.0,676.4,34.8,2613.1742282,135.6,29.9,KS,2.20906666667,2.06409666667,18039.6127553,180.396127553
486,487,20,1969,33.4,978.0,680.2,36.7,2827.1245418,135.2,29.9,KS,2.1863439782,1.95723607629,18506.1877772,185.061877772
487,488,20,1970,38.0,993.0,697.5,38.8,3103.8761913,128.5,31.4,KS,2.35282680412,1.94417793814,19218.1134199,192.181134199
488,489,20,1971,38.8,1012.0,716.7,40.5,3280.5714751,133.2,34.1,KS,2.30152019753,2.02272780247,19459.5399726,194.595399726
489,490,20,1972,41.5,1028.0,734.0,41.8,3507.2949418,136.5,36.1,KS,2.38511818182,2.07476545455,20157.3805655,201.573805655
490,491,20,1973,41.0,1037.0,747.4,44.4,3870.2653743,138.0,36.9,KS,2.2183954955,1.99655594595,20940.9250554,209.409250554
491,492,20,1974,41.8,1048.0,760.8,49.3,4234.3002362,142.1,37.9,KS,2.03688941176,1.84684470588,20633.4959745,206.334959745
492,493,20,1975,46.7,1058.0,776.2,53.8,4492.9565855,140.7,40.8,KS,2.08531992565,1.82186408922,20062.6378861,200.626378861
493,494,20,1976,49.9,1072.0,792.5,56.9,5028.3645842,144.9,43.9,KS,2.10681483304,1.85349040422,21230.1264367,212.301264367
494,495,20,1977,50.9,1084.0,808.8,60.6,5440.2987701,145.6,45.0,KS,2.01782382838,1.78393069307,21566.9243454,215.669243454
495,496,20,1978,55.0,1092.0,819.3,65.2,5882.0369797,143.9,49.7,KS,2.02653067485,1.83124680982,21672.9606726,216.729606726
496,497,20,1979,54.5,1097.0,828.9,72.6,6445.1201434,138.5,53.2,KS,1.80342451791,1.76040705234,21327.1333715,213.271333715
497,498,20,1980,59.0,1125.0,851.0,82.4,7097.6153783,141.2,55.3,KS,1.72013640777,1.6122634466,20692.9942721,206.929942721
498,499,20,1981,62.9,1133.0,862.5,90.9,7850.1669789,138.9,58.4,KS,1.66235911991,1.54343040704,20746.8945472,207.468945472
499,500,20,1982,69.7,1133.0,864.4,96.5,8341.9333713,139.5,67.0,KS,1.7351760829,1.66795979275,20767.1782942,207.671782942
500,501,20,1983,80.8,1146.0,877.9,99.6,8962.4957237,135.4,74.7,KS,1.94890248996,1.80177,21617.6116735,216.176116735
501,502,20,1984,93.7,1156.0,890.3,103.9,9851.2942901,135.5,90.5,KS,2.16651715111,2.09252723773,22778.0128496,227.780128496
502,503,20,1985,98.1,1165.0,899.9,107.6,10501.660666,127.9,89.2,KS,2.19025572491,1.99154750929,23446.8118193,234.468118193
503,504,20,1986,112.7,1172.0,908.6,109.6,11146.704895,119.0,100.0,KS,2.4703099635,2.19193430657,24432.8448646,244.328448646
504,505,20,1987,121.2,1187.0,922.0,113.6,12056.79205,125.0,102.0,KS,2.56308126761,2.15704859155,25497.1434412,254.971434412
505,506,20,1988,129.0,1205.0,940.0,118.3,13068.0,125.0,113.5,KS,2.61964868977,2.30488469992,26537.650448,265.37650448
506,507,20,1989,144.4,1222.0,953.0,124.0,14110.0,122.4,125.9,KS,2.79758696774,2.43917035484,27336.5319355,273.365319355
507,508,20,1990,160.1,1230.0,959.2,130.7,14975.0,117.5,135.9,KS,2.94275314461,2.49793973986,27525.1270084,275.251270084
508,509,20,1991,158.9,1237.0,963.3,136.2,15093.0,116.1,153.9,KS,2.80275333333,2.71456096916,26621.7470485,266.217470485
509,510,20,1992,187.7,1237.0,968.3,140.3,16298.0,114.7,164.4,KS,3.21399124733,2.8150248325,27907.1014113,279.071014113
510,511,21,1963,28.2,3351.0,2238.0,30.6,2312.3069668,122.7,23.4,KY,2.21393960784,1.83709882353,18153.5743946,181.535743946
511,512,21,1964,28.5,3442.0,2299.3,31.0,2483.3969442,122.2,23.9,KY,2.20862129032,1.85214206452,19245.2047834,192.452047834
512,513,21,1965,27.9,3534.0,2365.4,31.5,2629.6011066,121.0,24.1,KY,2.12780457143,1.83799606349,20054.7571887,200.547571887
513,514,21,1966,28.2,3608.0,2425.8,32.4,2780.9898139,121.0,24.1,KY,2.09094296296,1.78694061728,20620.1811399,206.201811399
514,515,21,1967,29.4,3680.0,2485.2,33.4,2967.6334256,121.7,26.3,KY,2.11465221557,1.89167868263,21345.2809471,213.452809471
515,516,21,1968,30.9,3716.0,2523.6,34.8,3140.7972208,121.7,26.7,KY,2.13313,1.84319,21681.9701476,216.819701476
516,517,21,1969,30.7,3765.0,2563.8,36.7,3384.4708249,122.3,27.2,KY,2.00960359673,1.78049569482,22154.543136,221.54543136
517,518,21,1970,32.6,3922.0,2723.9,38.8,3702.8018737,123.5,28.5,KY,2.01847773196,1.76462010309,22926.4513126,229.264513126
518,519,21,1971,34.2,4011.0,2816.9,40.5,3968.2505659,126.7,30.2,KY,2.02865955556,1.7913894321,23538.682542,235.38682542
519,520,21,1972,34.3,4062.0,2884.0,41.8,4212.961079,133.2,29.9,KY,1.97131454545,1.71843454545,24213.0363104,242.130363104
520,521,21,1973,35.3,4082.0,2933.8,44.4,4684.7546529,137.3,30.1,KY,1.90998441441,1.62862693694,25347.8990719,253.478990719
521,522,21,1974,35.8,4099.0,2980.8,49.3,5073.5955106,144.8,31.3,KY,1.74451294118,1.52523058824,24723.3324764,247.233324764
522,523,21,1975,39.5,4115.0,3028.7,53.8,5543.3152666,146.1,33.6,KY,1.76381449814,1.50035866171,24752.8603418,247.528603418
523,524,21,1976,46.1,4123.0,3071.8,56.9,6029.6255659,137.1,37.9,KY,1.94637602812,1.6001659754,25457.5242083,254.575242083
524,525,21,1977,49.2,4138.0,3114.9,60.6,6435.0569668,135.7,38.4,KY,1.95043089109,1.52228752475,25510.4347438,255.104347438
525,526,21,1978,52.1,4148.0,3153.3,65.2,7184.7421403,134.1,42.8,KY,1.91967723926,1.57700932515,26472.9097058,264.729097058
526,527,21,1979,56.2,4148.0,3181.1,72.6,7917.8367706,131.9,45.8,KY,1.85967812672,1.5155384022,26200.4054328,262.004054328
527,528,21,1980,58.1,4216.0,3230.9,82.4,8888.3835513,131.5,48.5,KY,1.69389703883,1.41401043689,25913.9528013,259.139528013
528,529,21,1981,62.8,4263.0,3287.5,90.9,9726.2059859,137.1,51.8,KY,1.65971625963,1.36900162816,25705.0035339,257.050035339
529,530,21,1982,65.4,4265.0,3302.8,96.5,10426.11953,131.3,56.4,KY,1.6281279171,1.40407361658,25955.7435379,259.557435379
530,531,21,1983,74.9,4304.0,3346.9,99.6,11464.065392,128.2,68.8,KY,1.80659401606,1.6594615261,27651.4178064,276.514178064
531,532,21,1984,84.2,4349.0,3391.9,103.9,12555.930521,122.5,76.0,KY,1.94685959577,1.75726044273,29031.6316135,290.316316135
532,533,21,1985,90.1,4391.0,3434.1,107.6,13494.333124,121.9,83.6,KY,2.01164159851,1.86651762082,30128.4815277,301.284815277
533,534,21,1986,93.3,4461.0,3496.4,109.6,14247.129024,121.8,91.3,KY,2.04507470803,2.0012360219,31228.7708778,312.287708778
534,535,21,1987,100.3,4535.0,3552.0,113.6,15111.911092,119.3,94.6,KY,2.12109778169,2.00055683099,31957.9671928,319.579671928
535,536,21,1988,109.2,4622.0,3612.0,118.3,16491.0,115.0,102.1,KY,2.21756307692,2.07338086221,33488.8577853,334.888577853
536,537,21,1989,120.2,4694.0,3658.0,124.0,17489.0,109.0,109.4,KY,2.32873929032,2.11950148387,33882.9629355,338.829629355
537,538,21,1990,131.5,4747.6,3699.8,130.7,18172.0,102.8,128.6,KY,2.41706457536,2.36376048967,33401.442938,334.01442938
538,539,21,1991,141.6,4826.1,3737.4,136.2,18477.0,97.6,136.5,KY,2.4976077533,2.40765154185,32590.6062555,325.906062555
539,540,21,1992,159.1,4871.8,3760.2,140.3,19746.0,91.7,157.9,KY,2.7242728154,2.70372518888,33811.1194298,338.111194298
540,541,22,1963,28.0,5252.0,3669.4,30.6,2498.0022941,142.2,24.2,LA,2.1982379085,1.89990562092,19611.4404943,196.114404943
541,542,22,1964,28.4,5287.0,3686.8,31.0,2653.9271915,138.7,24.7,LA,2.20087174194,1.91413845161,20566.7371864,205.667371864
542,543,22,1965,28.4,5361.0,3740.8,31.5,2802.3762376,136.5,24.7,LA,2.16593726984,1.88375530159,21372.4335815,213.724335815
543,544,22,1966,31.0,5403.0,3779.3,32.4,2983.932625,131.6,25.9,LA,2.29855432099,1.92040506173,22124.9394475,221.249394475
544,545,22,1967,33.6,5434.0,3812.1,33.4,3187.916566,130.2,26.5,LA,2.41674538922,1.90606407186,22929.7103039,229.297103039
545,546,22,1968,35.1,5438.0,3839.1,34.8,3401.5123159,128.0,29.9,LA,2.42307,2.06409666667,23481.7733541,234.817733541
546,547,22,1969,35.0,5467.0,3914.3,36.7,3626.8558319,129.7,29.9,LA,2.29107901907,1.95723607629,23741.1808619,237.411808619
547,548,22,1970,39.6,5689.0,4076.2,38.8,3931.2297754,124.3,31.4,LA,2.45189319588,1.94417793814,24340.7968124,243.407968124
548,549,22,1971,41.0,5741.0,4151.4,40.5,4199.2924414,121.4,34.1,LA,2.43201876543,2.02272780247,24909.1659001,249.091659001
549,550,22,1972,46.0,5767.0,4211.1,41.8,4442.7915962,117.9,36.1,LA,2.64374545455,2.07476545455,25533.9349738,255.339349738
550,551,22,1973,46.0,5793.0,4274.8,44.4,4861.4392659,121.2,36.9,LA,2.48893153153,1.99655594595,26303.8901685,263.038901685
551,552,22,1974,46.3,5789.0,4313.3,49.3,5272.6110843,124.3,37.9,LA,2.25617176471,1.84684470588,25693.1236602,256.931236602
552,553,22,1975,49.4,5778.0,4350.9,53.8,5721.1621589,126.1,40.8,LA,2.20588446097,1.82186408922,25547.0095243,255.470095243
553,554,22,1976,57.4,5769.0,4389.5,56.9,6115.2463173,116.9,43.9,LA,2.42347036907,1.85349040422,25819.0213406,258.190213406
554,555,22,1977,57.3,5768.0,4432.8,60.6,6611.8564356,118.9,45.0,LA,2.27153841584,1.78393069307,26211.3191859,262.113191859
555,556,22,1978,61.8,5771.0,4477.2,65.2,7274.0032601,120.5,49.7,LA,2.27708355828,1.83124680982,26801.8013373,268.018013373
556,557,22,1979,64.5,5769.0,4513.8,72.6,8027.9962569,118.2,53.2,LA,2.13432809917,1.76040705234,26564.9271181,265.649271181
557,558,22,1980,68.2,5737.0,4493.6,82.4,8940.0501087,120.5,55.3,LA,1.98836106796,1.6122634466,26064.585897,260.64585897
558,559,22,1981,70.8,5773.0,4552.3,90.9,9837.1522579,123.2,58.4,LA,1.87114508251,1.54343040704,25998.21903,259.9821903
559,560,22,1982,78.1,5781.0,4577.4,96.5,10820.760686,122.3,66.8,LA,1.94429343005,1.66298080829,26938.1996286,269.381996286
560,561,22,1983,88.7,5767.0,4585.1,99.6,11715.726878,119.8,74.7,LA,2.1394511245,1.80177,28258.427332,282.58427332
561,562,22,1984,101.4,5798.0,4627.5,103.9,13018.660951,116.0,90.5,LA,2.34455538017,2.09252723773,30101.549877,301.01549877
562,563,22,1985,108.3,5823.0,4663.2,107.6,13860.228206,117.2,89.2,LA,2.41798873606,1.99154750929,30945.406908,309.45406908
563,564,22,1986,115.0,5834.0,4679.6,109.6,14869.468124,115.8,100.0,LA,2.52072445255,2.19193430657,32592.8973014,325.928973014
564,565,22,1987,120.4,5855.0,4695.0,113.6,16086.963898,113.8,102.0,LA,2.54616323944,2.15704859155,34019.9635475,340.199635475
565,566,22,1988,131.6,5889.0,4722.0,118.3,17690.0,111.7,113.5,LA,2.67244781065,2.30488469992,35923.709552,359.23709552
566,567,22,1989,148.6,5913.0,4726.0,124.0,18636.0,104.4,125.9,LA,2.87895722581,2.43917035484,36105.1459355,361.051459355
567,568,22,1990,152.4,5913.0,4726.0,130.7,19051.0,99.4,135.9,LA,2.80122160673,2.49793973986,35017.1081561,350.171081561
568,569,22,1991,163.3,5893.3,4678.8,136.2,19385.0,93.5,150.1,LA,2.8803626138,2.64753477239,34192.1795888,341.921795888
569,570,22,1992,175.9,5895.3,4668.0,140.3,20822.0,90.5,164.4,LA,3.0119395866,2.8150248325,35653.5566073,356.535566073
570,571,23,1963,28.8,8036.0,5265.5,30.6,2251.0006434,126.7,24.4,ME,2.26104470588,1.91560732026,17672.2676656,176.722676656
571,572,23,1964,29.3,8161.0,5362.8,31.0,2462.5308457,125.0,26.0,ME,2.27061767742,2.01488258065,19083.5019435,190.835019435
572,573,23,1965,28.7,8317.0,5494.4,31.5,2675.0588319,131.8,26.0,ME,2.18881688889,1.98290031746,20401.4423346,204.014423346
573,574,23,1966,29.2,8496.0,5646.1,32.4,2845.6798913,134.5,26.3,ME,2.16508987654,1.95006382716,21099.8380977,210.998380977
574,575,23,1967,30.0,8608.0,5758.7,33.4,2906.5447137,134.4,27.0,ME,2.15780838323,1.94202754491,20905.8884982,209.058884982
575,576,23,1968,32.0,8673.0,5849.3,34.8,3126.0571878,134.2,29.8,ME,2.20906666667,2.05719333333,21580.2147864,215.802147864
576,577,23,1969,31.9,8766.0,5892.2,36.7,3303.662735,133.4,29.7,ME,2.08815487738,1.94414419619,21625.5782236,216.255782236
577,578,23,1970,33.7,8875.0,6064.9,38.8,3415.41454,128.6,30.6,ME,2.08658587629,1.89464474227,21147.0496761,211.470496761
578,579,23,1971,39.2,8965.0,6198.4,40.5,3710.758596,126.1,32.2,ME,2.32524720988,1.91002449383,22011.3037548,220.113037548
579,580,23,1972,40.0,9015.0,6301.4,41.8,4008.09822,131.4,32.5,ME,2.29890909091,1.86786363636,23035.633588,230.35633588
580,581,23,1973,40.2,9060.0,6398.7,44.4,4496.0145829,133.7,32.9,ME,2.17510972973,1.78012711712,24326.6792644,243.266792644
581,582,23,1974,41.1,9096.0,6488.4,49.3,4812.3121024,138.8,34.5,ME,2.00277882353,1.68116470588,23450.1137978,234.501137978
582,583,23,1975,44.4,9092.0,6553.3,53.8,5141.5808135,136.8,36.7,ME,1.98261680297,1.63878460967,22958.9741322,229.589741322
583,584,23,1976,47.9,9100.0,6621.9,56.9,5686.3708628,138.0,38.7,ME,2.02237335677,1.63394256591,24008.2775149,240.082775149
584,585,23,1977,48.3,9138.0,6704.9,60.6,6325.9503896,140.3,40.6,ME,1.91475227723,1.60950191419,25077.9045841,250.779045841
585,586,23,1978,54.0,9181.0,6787.9,65.2,7044.3548502,141.8,50.0,ME,1.98968466258,1.8423006135,25955.6385244,259.556385244
586,587,23,1979,57.2,9207.0,6849.0,72.6,7732.8257917,140.9,52.5,ME,1.89276848485,1.73724380165,25588.1974779,255.881974779
587,588,23,1980,60.3,9262.0,6880.4,82.4,8329.5006076,140.7,53.7,ME,1.75803771845,1.56561567961,24284.5377181,242.845377181
588,589,23,1981,61.8,9204.0,6871.9,90.9,9004.0025735,139.5,58.3,ME,1.63328765677,1.54078754675,23796.3208168,237.963208168
589,590,23,1982,68.0,9109.0,6828.0,96.5,9337.2624205,137.3,65.1,ME,1.69285471503,1.62065944041,23245.0422264,232.450422264
590,591,23,1983,87.7,9069.0,6828.0,99.6,10002.784331,128.3,75.7,ME,2.11533104418,1.82589008032,24126.79615,241.2679615
591,592,23,1984,97.0,9075.0,6864.2,103.9,11039.481879,128.2,85.2,ME,2.24281924928,1.9699814437,25525.322124,255.25322124
592,593,23,1985,101.4,9085.0,6913.8,107.6,11760.879691,126.6,88.8,ME,2.26393405204,1.98261680297,26258.2406454,262.582406454
593,594,23,1986,106.0,9139.0,6992.0,109.6,12501.235399,126.5,93.6,ME,2.32345036496,2.05165051095,27401.8867456,274.018867456
594,595,23,1987,111.4,9200.0,7055.0,113.6,13064.983344,122.1,100.1,ME,2.35583542254,2.11686827465,27629.2195302,276.292195302
595,596,23,1988,122.2,9240.0,7090.0,118.3,13957.002216,121.1,108.4,ME,2.48155868132,2.20131719358,28342.9787351,283.429787351
596,597,23,1989,133.0,9273.0,7108.0,124.0,14757.0,116.6,119.0,ME,2.57672483871,2.30549064516,28590.0213871,285.900213871
597,598,23,1990,143.9,9315.1,7140.3,130.7,15560.0,114.4,130.8,ME,2.6449854935,2.40419807192,28600.3990819,286.003990819
598,599,23,1991,144.9,9388.2,7183.5,136.2,15938.0,110.3,135.8,ME,2.55581471366,2.39530461087,28112.1980029,281.121980029
599,600,23,1992,176.7,9457.4,7226.7,140.3,17154.0,107.6,153.5,ME,3.02563800428,2.62838389166,29372.8321026,293.728321026
600,601,24,1963,28.7,3507.0,2314.2,30.6,2067.2509051,112.6,26.4,MD,2.25319385621,2.07262431373,16229.6760927,162.296760927
601,602,24,1964,30.1,3529.0,2333.4,31.0,2157.0879797,104.7,27.9,MD,2.33261406452,2.162124,16716.4576739,167.164576739
602,603,24,1965,30.2,3562.0,2367.9,31.5,2360.7186821,109.2,28.1,MD,2.30321498413,2.14305765079,18004.1147083,180.041147083
603,604,24,1966,30.3,3585.0,2398.6,32.4,2527.416365,110.7,30.2,MD,2.24665148148,2.23923679012,18740.0122797,187.400122797
604,605,24,1967,30.9,3625.0,2444.7,33.4,2669.1593049,114.4,30.5,MD,2.22254263473,2.19377185629,19198.4477477,191.984477477
605,606,24,1968,32.7,3663.0,2493.6,34.8,2876.7827661,113.7,32.3,MD,2.25739,2.22977666667,19859.390362,198.59390362
606,607,24,1969,32.8,3700.0,2516.7,36.7,3071.429761,112.3,32.3,MD,2.14706833787,2.1143386376,20105.3950971,201.053950971
607,608,24,1970,39.1,3805.0,2624.1,38.8,3331.9572773,104.3,37.3,MD,2.42093494845,2.30948525773,20630.3115585,206.303115585
608,609,24,1971,40.1,3853.0,2690.3,40.5,3524.6078928,116.4,38.5,MD,2.37863298765,2.28372493827,20907.1037465,209.071037465
609,610,24,1972,45.2,3870.0,2734.5,41.8,3757.186097,96.8,38.9,MD,2.59776727273,2.23568909091,21593.5731866,215.935731866
610,611,24,1973,45.6,3891.0,2783.4,44.4,4514.8120927,106.8,39.4,MD,2.46728864865,2.13182396396,24428.3873401,244.283873401
611,612,24,1974,47.0,3907.0,2829.4,49.3,4644.576756,110.6,39.9,MD,2.29028235294,1.94430352941,22632.7493216,226.327493216
612,613,24,1975,49.4,3937.0,2885.1,53.8,4962.9992759,111.5,42.6,MD,2.20588446097,1.9022404461,22161.544499,221.61544499
613,614,24,1976,52.1,3970.0,2941.7,56.9,5312.365677,116.7,45.0,MD,2.19970045694,1.89993321617,22429.2000137,224.292000137
614,615,24,1977,53.1,3996.0,2989.7,60.6,6025.0731354,117.2,46.4,MD,2.10503821782,1.83943075908,23885.1397649,238.851397649
615,616,24,1978,57.9,4024.0,3033.8,65.2,6668.9055033,118.9,53.2,MD,2.13338411043,1.96020785276,24572.2574002,245.722574002
616,617,24,1979,60.9,4060.0,3078.9,72.6,7378.6183925,118.3,54.1,MD,2.01520280992,1.79018837466,24416.1125088,244.161125088
617,618,24,1980,63.0,4077.0,3079.9,82.4,8054.3928313,117.7,58.8,MD,1.83675582524,1.71430543689,23482.4650027,234.824650027
618,619,24,1981,65.8,4094.0,3101.9,90.9,8895.8667632,120.8,61.4,MD,1.73900206821,1.62271621562,23510.5329783,235.105329783
619,620,24,1982,71.7,4133.0,3130.7,96.5,9376.9942071,119.4,67.8,MD,1.78496592746,1.68787573057,23343.9542004,233.439542004
620,621,24,1983,87.3,4144.0,3143.2,99.6,9884.0745836,113.2,77.9,MD,2.10568301205,1.87895425703,23840.4672858,238.404672858
621,622,24,1984,99.2,4162.0,3166.2,103.9,11105.858798,110.8,89.8,MD,2.29368731473,2.07634194418,25678.7978267,256.787978267
622,623,24,1985,101.5,4190.0,3196.9,107.6,11676.823316,113.0,92.3,MD,2.26616672862,2.06076048327,26070.5699456,260.705699456
623,624,24,1986,116.3,4213.0,3224.7,109.6,12407.49819,104.3,104.2,MD,2.54921959854,2.28399554745,27196.4209414,271.964209414
624,625,24,1987,120.1,4246.0,3266.0,113.6,12961.493483,108.8,110.3,MD,2.53981897887,2.3325731338,27410.3639822,274.103639822
625,626,24,1988,141.7,4307.0,3312.0,118.3,13785.0,94.1,123.3,MD,2.87755208791,2.50389677092,27993.687743,279.93687743
626,627,24,1989,152.5,4353.0,3339.0,124.0,14771.0,92.3,130.1,MD,2.95451532258,2.5205406129,28617.1448065,286.171448065
627,628,24,1990,162.3,4390.1,3367.5,130.7,15553.0,90.7,138.9,MD,2.98319072686,2.55308189748,28587.5325784,285.875325784
628,629,24,1991,173.9,4447.3,3406.0,136.2,15869.0,86.2,150.3,MD,3.06733042584,2.65106246696,27990.4925404,279.904925404
629,630,24,1992,197.7,4495.5,3440.5,140.3,17255.0,83.8,160.0,MD,3.38522146828,2.73968353528,29545.7746258,295.457746258
630,631,25,1963,30.5,2291.0,1460.9,30.6,1322.5729775,83.9,26.1,MA,2.39450915033,2.04907176471,10383.3216282,103.833216282
631,632,25,1964,30.4,2304.0,1472.4,31.0,1383.3694746,86.1,27.3,MA,2.35586270968,2.11562670968,10720.4886806,107.204886806
632,633,25,1965,31.4,2309.0,1483.8,31.5,1496.9891576,83.5,27.2,MA,2.39473346032,2.07441879365,11416.8472148,114.168472148
633,634,25,1966,31.8,2339.0,1516.1,32.4,1616.588824,86.9,29.5,MA,2.35787185185,2.18733395062,11986.5071828,119.865071828
634,635,25,1967,31.6,2344.0,1530.4,33.4,1760.1084237,88.1,29.6,MA,2.27289149701,2.12903760479,12659.9223735,126.599223735
635,636,25,1968,33.9,2349.0,1547.5,34.8,1919.5746455,89.0,30.9,MA,2.34023,2.13313,13251.4636361,132.514636361
636,637,25,1969,34.8,2360.0,1541.8,36.7,2069.0742285,91.0,30.9,MA,2.27798713896,2.02269547684,13544.0358681,135.440358681
637,638,25,1970,36.2,2216.0,1490.4,38.8,2243.4904087,93.4,34.3,MA,2.2413771134,2.1237357732,13890.9062326,138.909062326
638,639,25,1971,37.5,2253.0,1529.4,40.5,2441.8265221,105.4,38.8,MA,2.22440740741,2.30152019753,14484.312009,144.84312009
639,640,25,1972,37.4,2286.0,1563.7,41.8,2681.0258549,112.1,40.0,MA,2.14948,2.29890909091,15408.586777,154.08586777
640,641,25,1973,37.3,2319.0,1598.9,44.4,3042.8148457,115.0,39.9,MA,2.01819882883,2.15887756757,16463.8213349,164.638213349
641,642,25,1974,41.4,2338.0,1623.6,49.3,3302.9441201,117.1,41.6,MA,2.01739764706,2.02714352941,16095.0524064,160.950524064
642,643,25,1975,43.0,2350.0,1642.6,53.8,3530.1834862,116.8,44.3,MA,1.92010185874,1.97815144981,15763.515985,157.63515985
643,644,25,1976,46.4,2371.0,1668.3,56.9,3878.0191827,120.9,48.1,MA,1.95904224956,2.03081750439,16373.2832403,163.732832403
644,645,25,1977,48.8,2390.0,1691.1,60.6,4343.4612177,122.1,48.9,MA,1.93457372937,1.9385380198,17218.7417342,172.187417342
645,646,25,1978,53.6,2409.0,1712.0,65.2,4773.0233528,124.9,54.2,MA,1.97494625767,1.99705386503,17586.6877022,175.866877022
646,647,25,1979,56.5,2429.0,1732.0,72.6,5257.4020017,123.9,56.8,MA,1.86960523416,1.8795323416,17396.9315052,173.969315052
647,648,25,1980,59.7,2521.0,1791.0,82.4,5676.000834,127.0,60.0,MA,1.74054480583,1.74929126214,16548.2977713,165.482977713
648,649,25,1981,63.0,2531.0,1824.3,90.9,6301.9057548,125.3,62.6,MA,1.6650019802,1.65443053905,16655.0564457,166.550564457
649,650,25,1982,69.2,2551.0,1841.4,96.5,6824.1576314,125.8,68.3,MA,1.72272862176,1.70032319171,16988.6873859,169.886873859
650,651,25,1983,78.6,2587.0,1872.8,99.6,7118.1734779,122.3,79.1,MA,1.89583831325,1.90789835341,17169.0916028,171.690916028
651,652,25,1984,89.0,2598.0,1887.1,103.9,7659.3619683,116.4,88.3,MA,2.05784446583,2.04165917228,17709.8602677,177.098602677
652,653,25,1985,96.4,2613.0,1900.4,107.6,7968.3277731,115.3,92.5,MA,2.15230022305,2.06522583643,17790.6988002,177.906988002
653,654,25,1986,106.0,2624.0,1917.5,109.6,8390.9132611,113.2,98.8,MA,2.32345036496,2.16563109489,18392.3306405,183.923306405
654,655,25,1987,115.8,2625.0,1927.0,113.6,8827.4520434,110.0,103.5,MA,2.44888457746,2.18876989437,18667.8852914,186.678852914
655,656,25,1988,122.6,2620.0,1931.0,118.3,9560.0,109.0,112.1,MA,2.48968162299,2.27645440406,19413.8306002,194.138306002
656,657,25,1989,125.8,2621.0,1939.0,124.0,10102.0,108.3,121.5,MA,2.43723296774,2.35392532258,19571.4844516,195.714844516
657,658,25,1990,139.9,2620.0,1938.2,130.7,11054.0,101.8,135.0,MA,2.57146261668,2.48139709258,20318.0470084,203.180470084
658,659,25,1991,142.7,2639.3,1952.4,136.2,11528.0,105.6,137.4,MA,2.51701007342,2.4235261674,20333.6314831,203.336314831
659,660,25,1992,160.8,2661.7,1978.8,140.3,13006.0,103.9,163.9,MA,2.75338195296,2.80646332145,22270.2025374,222.702025374
660,661,26,1963,25.8,4412.0,3064.2,30.6,2180.0546712,133.2,24.1,MI,2.02551921569,1.89205477124,17115.281503,171.15281503
661,662,26,1964,25.7,4471.0,3103.8,31.0,2313.1146487,130.0,25.0,MI,1.99163393548,1.93738709677,17925.593895,179.25593895
662,663,26,1965,26.1,4492.0,3125.9,31.5,2486.6248593,130.2,24.5,MI,1.99052685714,1.86850222222,18964.343165,189.64343165
663,664,26,1966,26.2,4567.0,3191.5,32.4,2623.9427561,139.3,24.7,MI,1.9426491358,1.83142876543,19455.7256776,194.557256776
664,665,26,1967,27.5,4587.0,3218.5,33.4,2772.9699309,138.3,25.0,MI,1.97799101796,1.79817365269,19945.1258778,199.451258778
665,666,26,1968,29.2,4610.0,3258.0,34.8,3018.8647693,137.3,26.3,MI,2.01577333333,1.81557666667,20840.2297907,208.402297907
666,667,26,1969,29.9,4651.0,3325.5,36.7,3128.5061907,137.2,27.0,MI,1.95723607629,1.76740381471,20479.0139844,204.790139844
667,668,26,1970,36.0,4677.0,3352.5,38.8,3389.3037466,121.3,28.3,MI,2.22899381443,1.75223680412,20985.3807956,209.853807956
668,669,26,1971,36.8,4717.0,3413.2,40.5,3624.5537868,127.6,30.1,MI,2.1828851358,1.78545767901,21499.9581117,214.999581117
669,670,26,1972,37.7,4745.0,3458.5,41.8,3848.094549,130.0,30.6,MI,2.16672181818,1.75866545455,22116.0488534,221.160488534
670,671,26,1973,37.7,4763.0,3501.9,44.4,4351.5935038,132.1,30.6,MI,2.03984171171,1.65568054054,23545.2571392,235.452571392
671,672,26,1974,38.0,4771.0,3542.3,49.3,4610.2621,135.4,31.5,MI,1.85171764706,1.53497647059,22465.5360214,224.655360214
672,673,26,1975,43.5,4779.0,3578.0,53.8,5041.3764271,135.6,33.3,MI,1.94242862454,1.48696260223,22511.5261588,225.115261588
673,674,26,1976,44.7,4804.0,3628.1,56.9,5443.749799,139.5,36.0,MI,1.88726699473,1.51994657293,22983.9134747,229.839134747
674,675,26,1977,45.9,4823.0,3667.6,60.6,6035.6005789,140.8,36.9,MI,1.81960930693,1.46282316832,23926.8736085,239.268736085
675,676,26,1978,49.9,4847.0,3707.2,65.2,6645.5475157,141.8,41.4,MI,1.83861601227,1.52542490798,24486.1925304,244.861925304
